"id","lat","lon","date","country","species","database"
184426510,-16.3948446612,-40.9572917137,2023-06-10,"Brazil","Amazona vinacea","iNaturalist"
183141718,-29.2164636022,-50.8389248735,2023-08-03,"Brazil","Amazona vinacea","iNaturalist"
182508489,-26.6033640971,-52.0694996033,2017-11-07,"Brazil","Amazona vinacea","iNaturalist"
181455947,-16.347561696,-40.9628557778,2023-09-02,"Brazil","Amazona vinacea","iNaturalist"
181266266,-26.485033325,-53.8487415933,2023-08-30,"Argentina","Amazona vinacea","iNaturalist"
180849625,-26.4467827892,-52.5229276282,2023-08-29,"Brazil","Amazona vinacea","iNaturalist"
179749698,-23.1379649077,-44.8558550153,2023-08-22,"Brazil","Amazona vinacea","iNaturalist"
179715822,-22.6022847297,-45.5680645732,2022-12-28,"Brazil","Amazona vinacea","iNaturalist"
179569950,-22.8300441924,-46.1237862435,2017-04-13,"Brazil","Amazona vinacea","iNaturalist"
178707344,-29.2701081358,-50.9532954938,2023-08-04,"Brazil","Amazona vinacea","iNaturalist"
178601754,-29.3506658092,-50.9781862,2023-08-04,"Brazil","Amazona vinacea","iNaturalist"
177970792,49.9822564406,18.245954246,2023-08-12,"Czech Republic","Amazona vinacea","iNaturalist"
177184982,-16.3890389991,-40.9644802707,2023-08-05,"Brazil","Amazona vinacea","iNaturalist"
176694992,-29.3164565031,-50.8456153495,2023-08-04,"Brazil","Amazona vinacea","iNaturalist"
174869092,-26.7265516208,-54.1954769819,2012-08-24,"Argentina","Amazona vinacea","iNaturalist"
174868992,-26.6250665319,-54.0310970479,2012-08-24,"Argentina","Amazona vinacea","iNaturalist"
173908510,-16.2218622623,-40.9463577343,2023-07-20,"Brazil","Amazona vinacea","iNaturalist"
172436602,-26.2297735625,-49.8529805747,2023-06-29,"Brazil","Amazona vinacea","iNaturalist"
171253313,-25.8002891069,-52.1973942438,2023-06-02,"Brazil","Amazona vinacea","iNaturalist"
169596292,-28.2545113959,-49.8742408073,2023-06-21,"Brazil","Amazona vinacea","iNaturalist"
168401440,-22.8412130533,-46.1988759123,2023-06-19,"Brazil","Amazona vinacea","iNaturalist"
168232193,-19.5415602663,-41.5434951562,2021-11-14,"Brazil","Amazona vinacea","iNaturalist"
164427057,-26.7086053679,-50.8453127813,2023-05-25,"Brazil","Amazona vinacea","iNaturalist"
161878631,-19.4701278897,-42.4858536941,2023-05-12,"Brazil","Amazona vinacea","iNaturalist"
161223067,-19.5561791238,-42.4582477781,2023-05-12,"Brazil","Amazona vinacea","iNaturalist"
160098845,-26.6989533262,-54.0879536147,2023-03-01,"Argentina","Amazona vinacea","iNaturalist"
159735453,-27.9704584853,-49.8082780805,2023-04-29,"Brazil","Amazona vinacea","iNaturalist"
159735202,-27.8560085098,-49.9892068151,2023-04-29,"Brazil","Amazona vinacea","iNaturalist"
159658928,-22.656456307,-45.439013992,2023-03-06,"Brazil","Amazona vinacea","iNaturalist"
156626880,-24.2635301692,-50.745088511,2023-04-24,"Brazil","Amazona vinacea","iNaturalist"
155015840,-26.7530501801,-51.8224483935,2017-11-09,"Brazil","Amazona vinacea","iNaturalist"
155015830,-26.7919006979,-51.9578374016,2017-10-27,"Brazil","Amazona vinacea","iNaturalist"
155015809,-26.7208867164,-51.9158085473,2017-10-27,"Brazil","Amazona vinacea","iNaturalist"
155015767,-26.6384463164,-51.9344970285,2017-10-20,"Brazil","Amazona vinacea","iNaturalist"
