"id","lat","lon","date","country","species","database"
"4715237329",-29.30912,-50.912327,2023-03-08,"Brazil","Amazona vinacea","Gbif"
"4712539835",-22.690252,-45.496353,2023-03-06,"Brazil","Amazona vinacea","Gbif"
"4704245831",-22.703138,-45.47843,2023-03-06,"Brazil","Amazona vinacea","Gbif"
"4663624731",-22.691557,-45.50286,2023-03-06,"Brazil","Amazona vinacea","Gbif"
"4790996063",-29.423658,-50.57849,2023-03-10,"Brazil","Amazona vinacea","Gbif"
"4673891863",-27.497639,-50.790745,2023-03-14,"Brazil","Amazona vinacea","Gbif"
"4653104105",-25.200138,-50.645317,2023-03-14,"Brazil","Amazona vinacea","Gbif"
"4611152611",-22.885754,-46.023224,2023-03-23,"Brazil","Amazona vinacea","Gbif"
"4681863613",-20.684921,-43.298897,2023-03-24,"Brazil","Amazona vinacea","Gbif"
"4716946730",-27.665611,-49.132946,2023-03-28,"Brazil","Amazona vinacea","Gbif"
"4618848996",-26.378235,-49.203503,2023-03-07,"Brazil","Amazona vinacea","Gbif"
"4845372614",-22.717306,-44.619595,2023-03-05,"Brazil","Amazona vinacea","Gbif"
"4758198529",-28.88149,-50.359596,2023-03-21,"Brazil","Amazona vinacea","Gbif"
"4096897819",-24.26353,-50.745089,2023-04-24,"Brazil","Amazona vinacea","Gbif"
"4111594210",-27.856009,-49.989207,2023-04-29,"Brazil","Amazona vinacea","Gbif"
"4111683259",-27.970458,-49.808278,2023-04-29,"Brazil","Amazona vinacea","Gbif"
"4814559020",-16.312346,-40.739,2023-04-01,"Brazil","Amazona vinacea","Gbif"
"4716525735",-19.763391,-42.631203,2023-04-01,"Brazil","Amazona vinacea","Gbif"
"4780017715",-27.967873,-49.895054,2023-04-07,"Brazil","Amazona vinacea","Gbif"
"4798543314",-27.675299,-49.033188,2023-04-13,"Brazil","Amazona vinacea","Gbif"
"4833386387",-27.964815,-49.87028,2023-04-15,"Brazil","Amazona vinacea","Gbif"
"4677186569",-28.020298,-49.849728,2023-04-16,"Brazil","Amazona vinacea","Gbif"
"4783287683",-29.442862,-50.611286,2023-04-21,"Brazil","Amazona vinacea","Gbif"
"4806767971",-20.414827,-41.848576,2023-04-21,"Brazil","Amazona vinacea","Gbif"
"4812911623",-27.954006,-49.87439,2023-04-22,"Brazil","Amazona vinacea","Gbif"
"4789344062",-29.038143,-50.145206,2023-04-22,"Brazil","Amazona vinacea","Gbif"
"4644363745",-24.554058,-50.404694,2023-04-24,"Brazil","Amazona vinacea","Gbif"
"4788738894",-29.158892,-50.08184,2023-04-22,"Brazil","Amazona vinacea","Gbif"
"4735504179",-27.963335,-49.891838,2023-04-27,"Brazil","Amazona vinacea","Gbif"
"4807147982",-27.951479,-49.934216,2023-04-30,"Brazil","Amazona vinacea","Gbif"
"4729598907",-25.016071,-47.9318,2023-04-30,"Brazil","Amazona vinacea","Gbif"
"4665297345",-27.968138,-49.893932,2023-04-30,"Brazil","Amazona vinacea","Gbif"
"4632435567",-27.968143,-49.89408,2023-04-30,"Brazil","Amazona vinacea","Gbif"
"4743911691",-26.91687,-50.74241,2023-04-11,"Brazil","Amazona vinacea","Gbif"
