"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","user_name","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Amazona vinacea","2013-10-05 15:45:00 -0300","","Minas Gerais, BR",-20.5872432345,-41.9875635674,"Amazona vinacea Vinaceous-breasted Parrot Amazone vineuse, Amazone vineuse Amazona vinacea","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/243842914","https://inaturalist-open-data.s3.amazonaws.com/photos/434863593/medium.jpg","ochaline",243842914,"Amazone vineuse","Aves",18986,1,0,"2013/10/05 15:45","2013-10-05","2013-10-05 18:45:00 UTC","Brasilia",NA,30472,"","obscured","true","","",5170563,"Chaline Olivier","2024-09-24 19:03:22 UTC","2024-09-24 19:14:24 UTC","research","CC-BY-NC","",NA,"false"
"Amazona vinacea","2024-09-20 13:31:00 -0300","","Santa Catarina, BR",-27.1512551789,-49.4202688332,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/242902006","","alineantunes",242902006,"Papagaio-de-Peito-Roxo","Aves",18986,1,0,"2024/09/20 13:31","2024-09-20","2024-09-20 16:31:00 UTC","Brasilia",202,29775,"","obscured","true","","",7676188,"Aline Fernanda Antunes","2024-09-20 16:34:11 UTC","2024-10-08 15:11:04 UTC","research","CC-BY-SA","https://static.inaturalist.org/sounds/1206190.mp3?1726849922",NA,"false"
"Amazona vinacea","2022-07-20 07:25:00 -0300","","São Paulo, BR",-22.6880382552,-45.4956188122,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/242260051","https://static.inaturalist.org/photos/431884507/medium.jpg","gustavodallaqua",242260051,"Vinaceous-breasted Parrot","Aves",18986,1,0,"2022/07/20 7:25 AM","2022-07-20","2022-07-20 10:25:00 UTC","Brasilia",31,30258,"","obscured","true","","",5300719,"Gustavo Dallaqua","2024-09-17 10:30:00 UTC","2024-09-17 12:20:01 UTC","research","","",NA,"false"
"Amazona vinacea","2024-08-28 14:18:00 -0300","","Minas Gerais, BR",-18.812988516,-41.9092209385,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/241033455","https://inaturalist-open-data.s3.amazonaws.com/photos/429516648/medium.jpeg","yasminheggendorn",241033455,"Papagaio-de-peito-roxo","Aves",18986,1,0,"2024/08/28 14:18","2024-08-28","2024-08-28 17:18:00 UTC","Brasilia",NA,30615,"","obscured","true","","",8551737,"","2024-09-11 00:47:36 UTC","2024-09-11 00:51:46 UTC","research","CC-BY-NC","",NA,"false"
"Amazona vinacea","2024-09-08 09:04:43 -0300","","Minas Gerais, BR",-21.0954009911,-42.985026111,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/240550218","https://static.inaturalist.org/photos/428583067/medium.jpeg","jhuan_guilherme",240550218,"Papagaio-de-peito-roxo","Aves",18986,1,0,"2024-09-08 09:04:43","2024-09-08","2024-09-08 12:04:43 UTC","Brasilia",6127,30415,"","obscured","true","gps","gps",7478909,"Jhuan Guilherme Farias","2024-09-08 14:56:03 UTC","2024-09-08 21:26:23 UTC","research","","",2,"false"
"Amazona vinacea","2024-08-28 14:05:24 +0200","","Moravskoslezský, CZ",49.9854539738,18.277784315,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/240546200","https://inaturalist-open-data.s3.amazonaws.com/photos/428578730/medium.jpeg","animaluki",240546200,"Vinaceous-breasted Parrot","Aves",18986,0,0,"2024-08-28 14:05:24","2024-08-28","2024-08-28 12:05:24 UTC","Prague",NA,26454,"","obscured","true","gps","gps",7806073,"","2024-09-08 14:35:55 UTC","2024-09-08 14:44:56 UTC","casual","CC-BY-NC","",2,"true"
"Amazona vinacea","2015-05-07 13:21:00 -0300","","Brazil",-25.6881516217,-54.5957404709,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/239419180","https://inaturalist-open-data.s3.amazonaws.com/photos/426405497/medium.jpg","moschini",239419180,"Papagaio-de-peito-roxo","Aves",18986,2,0,"2015/05/07 13:21","2015-05-07","2015-05-07 16:21:00 UTC","Brasilia",4,29936,"","obscured","true","","",8454861,"Luiz Moschini","2024-09-02 16:25:35 UTC","2024-09-03 11:15:37 UTC","casual","CC-BY-NC","",NA,"true"
"Amazona vinacea","2016-07-07 09:52:00 -0300","","Minas Gerais, BR",-19.0726883472,-43.049051675,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/238401521","https://static.inaturalist.org/photos/424421068/medium.jpeg","thiago_dos_santos",238401521,"Papagaio-de-peito-roxo","Aves",18986,1,0,"2016/07/07 09:52","2016-07-07","2016-07-07 12:52:00 UTC","Brasilia",NA,30598,"","obscured","true","","",8451750,"Thiago Dos Santos","2024-08-28 12:10:49 UTC","2024-08-30 02:44:05 UTC","research","","",NA,"false"
"Amazona vinacea","2024-08-19 17:43:00 -0300","","São Paulo, BR",-22.6666188451,-45.5702720503,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/238302105","https://static.inaturalist.org/photos/424231632/medium.jpeg","fabiobabi",238302105,"Papagaio-de-peito-roxo","Aves",18986,1,0,"2024/08/19 17:43","2024-08-19","2024-08-19 20:43:00 UTC","Brasilia",6637,30258,"","obscured","true","","",6336431,"FabioBabi","2024-08-27 20:07:09 UTC","2024-08-27 20:09:00 UTC","research","","",NA,"false"
"Amazona vinacea","2021-08-14 07:46:00 -0300","","Santa Catarina, BR",-27.8233986673,-49.9783487616,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/237727692","https://inaturalist-open-data.s3.amazonaws.com/photos/423115598/medium.jpg","moschini",237727692,"Papagaio-de-peito-roxo","Aves",18986,1,0,"2021/08/14 07:46","2021-08-14","2021-08-14 10:46:00 UTC","Brasilia",3906,29680,"","obscured","true","","",8454861,"Luiz Moschini","2024-08-24 21:18:40 UTC","2024-08-24 22:20:30 UTC","research","CC-BY-NC","",NA,"false"
"Amazona vinacea","2024-08-06 13:11:39 +0200","","Opole, PL",50.7688150867,17.8988612502,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/234823165","https://inaturalist-open-data.s3.amazonaws.com/photos/417528093/medium.jpeg","animaluki",234823165,"Vinaceous-breasted Parrot","Aves",18986,0,0,"2024-08-06 13:11:39","2024-08-06","2024-08-06 11:11:39 UTC","Warsaw",NA,26325,"","obscured","true","gps","gps",7806073,"","2024-08-10 05:58:15 UTC","2024-08-10 06:18:17 UTC","casual","CC-BY-NC","",2,"true"
