"id","lat","lon","date","country","species","database","myID"
222076793,-18.8697285588,-40.7918108375,"2023-12-19","Brazil","Amazona vinacea","iNaturalist",65
222008657,-22.6743983556,-45.5213326071,"2018-10-28","Brazil","Amazona vinacea","iNaturalist",66
221083143,-19.6851089803,-42.6816746468,"2024-06-04","Brazil","Amazona vinacea","iNaturalist",67
219624179,-28.1821895494,-49.8297167642,"2024-05-22","Brazil","Amazona vinacea","iNaturalist",68
219623937,-27.8605558959,-49.9192899734,"2024-05-23","Brazil","Amazona vinacea","iNaturalist",69
219623641,-27.9923254148,-49.8095880778,"2024-05-23","Brazil","Amazona vinacea","iNaturalist",70
214638834,-21.1519122848,-42.9482839564,"2023-11-11","Brazil","Amazona vinacea","iNaturalist",71
213763976,-26.7646751096,-48.870702436,"2023-09-16","Brazil","Amazona vinacea","iNaturalist",72
208032525,-18.8871224719,-41.9478870163,"2024-03-07","Brazil","Amazona vinacea","iNaturalist",73
201781057,-23.5896318131,-46.5082019361,"2024-03-09","Brazil","Amazona vinacea","iNaturalist",74
201069492,-16.2097549815,-40.8418061632,"2024-02-29","Brazil","Amazona vinacea","iNaturalist",75
199314039,-22.6913752979,-45.4914352438,"2019-05-02","Brazil","Amazona vinacea","iNaturalist",76
197901543,-26.6425182009,-54.0645116013,"2023-02-09","Argentina","Amazona vinacea","iNaturalist",77
197796238,-26.5931957685,-52.515114414,"2023-12-09","Brazil","Amazona vinacea","iNaturalist",78
197279144,-18.8114755381,-40.6835184654,"2023-12-17","Brazil","Amazona vinacea","iNaturalist",79
196721217,-29.276229879,-50.8956796866,"2023-09-13","Brazil","Amazona vinacea","iNaturalist",80
196045437,-26.5609136556,-53.8840663964,"2023-09-21","Argentina","Amazona vinacea","iNaturalist",81
195975094,-16.2749016597,-40.8907677473,"2024-01-06","Brazil","Amazona vinacea","iNaturalist",82
195179477,-29.3151971791,-50.9816730766,"2023-08-04","Brazil","Amazona vinacea","iNaturalist",83
194230635,-29.3854162529,-50.8959388308,"2023-11-16","Brazil","Amazona vinacea","iNaturalist",84
192736064,-22.7588071068,-45.5586965389,"2016-03-22","Brazil","Amazona vinacea","iNaturalist",85
192589512,-29.4495229425,-50.3950529788,"2023-11-27","Brazil","Amazona vinacea","iNaturalist",86
191866333,-22.9783133214,-46.0643849028,"2023-11-19","Brazil","Amazona vinacea","iNaturalist",87
191678781,-22.8065089403,-46.1430886217,"2023-11-19","Brazil","Amazona vinacea","iNaturalist",88
191678758,-22.9797519433,-46.1954447159,"2023-11-18","Brazil","Amazona vinacea","iNaturalist",89
190547203,-26.4894883536,-53.8990438113,"2023-11-10","Argentina","Amazona vinacea","iNaturalist",90
189125602,-26.4295438646,-53.9650710912,"2023-03-26","Argentina","Amazona vinacea","iNaturalist",91
188704651,-26.55331822,-52.4481946421,"2023-10-21","Brazil","Amazona vinacea","iNaturalist",92
188198746,-18.9351523246,-41.8082812141,"2023-10-19","Brazil","Amazona vinacea","iNaturalist",93
186920005,-16.1118516227,-41.0680761265,"2021-12-03","Brazil","Amazona vinacea","iNaturalist",94
