"id","gen","sp","ssp","group","en","rec","cnt","loc","lat","lng","alt","type","sex","stage","method","url","file","file-name","sono.small","sono.med","sono.large","sono.full","osci.small","osci.med","osci.large","lic","q","length","time","date","uploaded","also","rmk","bird-seen","animal-seen","playback-used","temp","regnr","auto","dvc","mic","smp"
"724673","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","GABRIEL LEITE","Brazil","Urupema. Pousada Rio dos Touros, Santa Catarina","-27.9514","-49.9345","1400","call","","adult","field recording","//xeno-canto.org/724673","https://xeno-canto.org/724673/download","XC724673-Amazona violacea_Urupema_MixPre-076.mp3",//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC724673-small.png,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC724673-med.png,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC724673-large.png,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/ffts/XC724673-full.png,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/wave/XC724673-small.png,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/wave/XC724673-med.png,//xeno-canto.org/sounds/uploaded/TGBFXDVERJ/wave/XC724673-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","A","0:42","12:00","2022-05-14","2022-05-16","","","yes","yes","no","","","no","","","48000"
"580452","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Franco Vushurovich","Argentina","Parque Provincial Araucaria, San Pedro, Misiones","-26.6301","-54.0999","550","song","","","field recording","//xeno-canto.org/580452","https://xeno-canto.org/580452/download","XC580452-lorovinoso.mp3",//xeno-canto.org/sounds/uploaded/VLDFGFKOWN/ffts/XC580452-small.png,//xeno-canto.org/sounds/uploaded/VLDFGFKOWN/ffts/XC580452-med.png,//xeno-canto.org/sounds/uploaded/VLDFGFKOWN/ffts/XC580452-large.png,//xeno-canto.org/sounds/uploaded/VLDFGFKOWN/ffts/XC580452-full.png,//xeno-canto.org/sounds/uploaded/VLDFGFKOWN/wave/XC580452-small.png,//xeno-canto.org/sounds/uploaded/VLDFGFKOWN/wave/XC580452-med.png,//xeno-canto.org/sounds/uploaded/VLDFGFKOWN/wave/XC580452-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","A","0:19","18:30","2019-03-20","2020-08-02","","","no","no","no","","","no","","","44100"
"541134","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Marcelo Hübel","Brazil","São Bento do Sul, São Bento do Sul, Santa Catarina","-26.2457","-49.4122","900","alarm call, call, subsong","","adult","field recording, in the hand","//xeno-canto.org/541134","https://xeno-canto.org/541134/download","XC541134-Amazona vinacea  II São Bento do Sul.mp3",//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/ffts/XC541134-small.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/ffts/XC541134-med.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/ffts/XC541134-large.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/ffts/XC541134-full.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/wave/XC541134-small.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/wave/XC541134-med.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/wave/XC541134-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","A","0:12","08:20","2020-04-03","2020-04-03","","Cerca de 30 papagaios  que se juntava e separavam em menores grupos,  que sobrevoavam os pinheirais na busca de alimento. Mas neste ano as Araucaria angustifolia tiveram um decréscimo de produção de 80% quando comparado ao ano anterior. As sementes deste ano foram polinizada a 20 meses atras, talvez seja neste momento o problema da atual baixa de produção das sementes que alimentam os papagaios. Espécie ameaçada de extinção.","yes","yes","no","","","no","","","48000"
"541133","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Marcelo Hübel","Brazil","São Bento do Sul, São Bento do Sul, Santa Catarina","-26.2457","-49.4122","900","alarm call, call, subsong","female, male","adult","field recording","//xeno-canto.org/541133","https://xeno-canto.org/541133/download","XC541133-Amazona vinacea  III São Bento do Sul.mp3",//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/ffts/XC541133-small.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/ffts/XC541133-med.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/ffts/XC541133-large.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/ffts/XC541133-full.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/wave/XC541133-small.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/wave/XC541133-med.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/wave/XC541133-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","A","0:19","08:05","2020-04-03","2020-04-03","","Cerca de 30 papagaios  que se juntava e separavam em menores grupos,  que sobrevoavam os pinheirais na busca de alimento. Mas neste ano as Araucaria angustifolia tiveram um decréscimo de produção de 80% quando comparado ao ano anterior. As sementes deste ano foram polinizada a 20 meses atras, talvez seja neste momento o problema da atual baixa de produção das sementes que alimentam os papagaios. Espécie ameaçada de extinção.","yes","yes","no","","","no","","","48000"
"541132","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Marcelo Hübel","Brazil","São Bento do Sul, São Bento do Sul, Santa Catarina","-26.2457","-49.4122","900","alarm call, call","uncertain","adult","field recording, in the hand","//xeno-canto.org/541132","https://xeno-canto.org/541132/download","XC541132-Amazona vinacea  IV São Bento do Sul.mp3",//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/ffts/XC541132-small.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/ffts/XC541132-med.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/ffts/XC541132-large.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/ffts/XC541132-full.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/wave/XC541132-small.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/wave/XC541132-med.png,//xeno-canto.org/sounds/uploaded/OJWRIBRRJM/wave/XC541132-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","A","0:22","08:00","2020-04-03","2020-04-03","","Cerca de 30 papagaios  que se juntava e separavam em menores grupos,  que sobrevoavam os pinheirais na busca de alimento. Mas neste ano as Araucaria angustifolia tiveram um decréscimo de produção de 80% quando comparado ao ano anterior. As sementes deste ano foram polinizada a 20 meses atras, talvez seja neste momento o problema da atual baixa de produção das sementes que alimentam os papagaios.","yes","yes","no","","","no","","","48000"
"503248","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Franco Vushurovich","Argentina","Parque Provincial Araucaria, San Pedro, Misiones","-26.6301","-54.0999","550","flight call","","","field recording","//xeno-canto.org/503248","https://xeno-canto.org/503248/download","XC503248-Loro.mp3",//xeno-canto.org/sounds/uploaded/VLDFGFKOWN/ffts/XC503248-small.png,//xeno-canto.org/sounds/uploaded/VLDFGFKOWN/ffts/XC503248-med.png,//xeno-canto.org/sounds/uploaded/VLDFGFKOWN/ffts/XC503248-large.png,//xeno-canto.org/sounds/uploaded/VLDFGFKOWN/ffts/XC503248-full.png,//xeno-canto.org/sounds/uploaded/VLDFGFKOWN/wave/XC503248-small.png,//xeno-canto.org/sounds/uploaded/VLDFGFKOWN/wave/XC503248-med.png,//xeno-canto.org/sounds/uploaded/VLDFGFKOWN/wave/XC503248-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","A","0:25","18:00","2019-03-20","2019-10-20","Megarynchus pitangua","","yes","yes","no","","","no","","","44100"
"427061","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Caio Brito","Brazil","Tecnotruta - Santa Marta, Ibitirama-ES, Espírito Santo","-20.466098","-41.731431","1100","canto em voo","","","field recording","//xeno-canto.org/427061","https://xeno-canto.org/427061/download","XC427061-Amazona vinacea -Caio Brito-(Ibitirama-ES)-BRITO1905.mp3",//xeno-canto.org/sounds/uploaded/YWWWUBVAJF/ffts/XC427061-small.png,//xeno-canto.org/sounds/uploaded/YWWWUBVAJF/ffts/XC427061-med.png,//xeno-canto.org/sounds/uploaded/YWWWUBVAJF/ffts/XC427061-large.png,//xeno-canto.org/sounds/uploaded/YWWWUBVAJF/ffts/XC427061-full.png,//xeno-canto.org/sounds/uploaded/YWWWUBVAJF/wave/XC427061-small.png,//xeno-canto.org/sounds/uploaded/YWWWUBVAJF/wave/XC427061-med.png,//xeno-canto.org/sounds/uploaded/YWWWUBVAJF/wave/XC427061-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","A","1:26","07:20","2016-09-27","2018-07-23","Procnias nudicollis","habitat:Mata Atlântica;
recorder:Sony PCM-M10;
microphone:Sennheiser ME-066;
volume setting:6.;
weather:Nublado;","unknown","unknown","unknown","","","no","","","48000"
"288368","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Marcelo Villegas","Brazil","Bom Jardim da Serra, Bom Jardim da Serra, Santa Catarina","-28.3286","-49.5848","1400","flight call","","","field recording","//xeno-canto.org/288368","https://xeno-canto.org/288368/download","XC288368-PESC2_10_Avina.mp3",//xeno-canto.org/sounds/uploaded/YWTZVKKHKP/ffts/XC288368-small.png,//xeno-canto.org/sounds/uploaded/YWTZVKKHKP/ffts/XC288368-med.png,//xeno-canto.org/sounds/uploaded/YWTZVKKHKP/ffts/XC288368-large.png,//xeno-canto.org/sounds/uploaded/YWTZVKKHKP/ffts/XC288368-full.png,//xeno-canto.org/sounds/uploaded/YWTZVKKHKP/wave/XC288368-small.png,//xeno-canto.org/sounds/uploaded/YWTZVKKHKP/wave/XC288368-med.png,//xeno-canto.org/sounds/uploaded/YWTZVKKHKP/wave/XC288368-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","A","0:21","18:30","2015-05-07","2015-11-02","","","yes","yes","no","","","no","","","48000"
"268583","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Fabrice Schmitt","Brazil","Reserva Feliciano Miguel Abdala","-19.7323","-41.8141","400","flight call","","","field recording","//xeno-canto.org/268583","https://xeno-canto.org/268583/download","XC268583-Vinaceous-breasted Amazon_Caratinga_Br_12aug2015_Fschmitt.mp3",//xeno-canto.org/sounds/uploaded/FPAGKPAQYO/ffts/XC268583-small.png,//xeno-canto.org/sounds/uploaded/FPAGKPAQYO/ffts/XC268583-med.png,//xeno-canto.org/sounds/uploaded/FPAGKPAQYO/ffts/XC268583-large.png,//xeno-canto.org/sounds/uploaded/FPAGKPAQYO/ffts/XC268583-full.png,//xeno-canto.org/sounds/uploaded/FPAGKPAQYO/wave/XC268583-small.png,//xeno-canto.org/sounds/uploaded/FPAGKPAQYO/wave/XC268583-med.png,//xeno-canto.org/sounds/uploaded/FPAGKPAQYO/wave/XC268583-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","A","0:17","08:00","2015-08-12","2015-08-16","","","no","no","no","","","no","","","48000"
"235510","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Jeremy Minns","Brazil","Santa Catarina; near Urubici","-27.83","-49.58","850","flight call","","","field recording","//xeno-canto.org/235510","https://xeno-canto.org/235510/download","XC235510-AMAVIN10.mp3",//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC235510-small.png,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC235510-med.png,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC235510-large.png,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/XC235510-full.png,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC235510-small.png,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC235510-med.png,//xeno-canto.org/sounds/uploaded/DGVLLRYDXS/wave/XC235510-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","A","0:18","17:43","2002-11-28","2015-04-13","","sub-montane scrub - several birds, 500-600 m away","yes","yes","no","","","no","","","44100"
