	Area_True	Area_False
Presente	304333.840197006	3071167.33315499
2021-2040 ssp245	321467.406296438	3054033.76705556
2021-2040 ssp585	321009.452410273	3054491.72094173
2041-2060 ssp245	337398.5971127	3038102.5762393
2041-2060 ssp585	339724.647264155	3035776.52608785
2061-2080 ssp245	333532.677437895	3041968.4959141
2061-2080 ssp585	356930.120856471	3018571.05249553
2081-2100 ssp245	350054.469391151	3025446.70396085
2081-2100 ssp585	369910.794354292	3005590.37899771

threshold:	0.39
