"","latitude","longitude","country","species"
"138",-27.732767,-50.203163,Brazil,Amazona vinacea
"139",-22.866201,-46.041775,Brazil,Amazona vinacea
"140",-27.952076,-49.9305,Brazil,Amazona vinacea
"141",-22.715195,-45.604713,Brazil,Amazona vinacea
"142",-22.689444,-45.481945,Brazil,Amazona vinacea
"143",-28.057894,-49.36535,Brazil,Amazona vinacea
"144",-27.95734,-49.906734,Brazil,Amazona vinacea
"145",-27.739838,-51.173393,Brazil,Amazona vinacea
"146",-27.395897,-50.746914,Brazil,Amazona vinacea
"147",-27.978527,-49.486237,Brazil,Amazona vinacea
"148",-27.487331,-50.98294,Brazil,Amazona vinacea
"149",-26.27108,-51.176186,Brazil,Amazona vinacea
"150",-22.689444,-45.481945,Brazil,Amazona vinacea
"151",-23.14013,-44.92263,Brazil,Amazona vinacea
"152",-26.91687,-50.74241,Brazil,Amazona vinacea
"153",-27.978527,-49.486237,Brazil,Amazona vinacea
"154",-27.49529,-50.825935,Brazil,Amazona vinacea
"155",-26.037426,-52.67862,Brazil,Amazona vinacea
"156",-27.487331,-50.98294,Brazil,Amazona vinacea
"157",-26.037426,-52.67862,Brazil,Amazona vinacea
"158",-22.69121,-45.50362,Brazil,Amazona vinacea
"159",-19.41644,-42.725796,Brazil,Amazona vinacea
"160",-25.099901,-48.811634,Brazil,Amazona vinacea
"161",-20.685087,-43.30088,Brazil,Amazona vinacea
"162",-22.693571,-45.490643,Brazil,Amazona vinacea
"163",-29.158892,-50.08184,Brazil,Amazona vinacea
"164",-29.458334,-50.581112,Brazil,Amazona vinacea
"165",-29.178404,-50.04842,Brazil,Amazona vinacea
"166",-22.691847,-45.507538,Brazil,Amazona vinacea
"167",-29.14611,-50.395557,Brazil,Amazona vinacea
"168",-22.689444,-45.481945,Brazil,Amazona vinacea
"169",-27.952076,-49.9305,Brazil,Amazona vinacea
"170",-25.216906,-48.038837,Brazil,Amazona vinacea
"171",-28.001665,-49.54776,Brazil,Amazona vinacea
"172",-25.963375,-51.860798,Brazil,Amazona vinacea
"173",-29.458334,-50.581112,Brazil,Amazona vinacea
"174",-26.462187,-52.568893,Brazil,Amazona vinacea
"175",-27.951292,-49.93415,Brazil,Amazona vinacea
"176",-22.699076,-45.506176,Brazil,Amazona vinacea
"177",-27.967873,-49.895054,Brazil,Amazona vinacea
"178",-22.73724,-45.58983,Brazil,Amazona vinacea
"179",-27.951292,-49.93415,Brazil,Amazona vinacea
"180",-29.458334,-50.581112,Brazil,Amazona vinacea
"181",-29.36851,-50.873302,Brazil,Amazona vinacea
"182",-22.689444,-45.481945,Brazil,Amazona vinacea
"183",-23.14013,-44.92263,Brazil,Amazona vinacea
"184",-27.739838,-51.173393,Brazil,Amazona vinacea
"185",-22.691557,-45.50286,Brazil,Amazona vinacea
"186",-25.10292,-48.70592,Brazil,Amazona vinacea
"187",-28.314272,-50.27333,Brazil,Amazona vinacea
"188",-28.001665,-49.54776,Brazil,Amazona vinacea
"189",-29.442417,-50.555885,Brazil,Amazona vinacea
"190",-27.385855,-50.771492,Brazil,Amazona vinacea
"191",-29.431555,-50.56104,Brazil,Amazona vinacea
"192",-22.689444,-45.481945,Brazil,Amazona vinacea
"193",-24.339954,-50.611244,Brazil,Amazona vinacea
"194",-19.38903,-42.654255,Brazil,Amazona vinacea
"195",-29.159657,-50.078945,Brazil,Amazona vinacea
"196",-29.458334,-50.581112,Brazil,Amazona vinacea
"197",-26.462187,-52.568893,Brazil,Amazona vinacea
"198",-22.691557,-45.50286,Brazil,Amazona vinacea
"199",-26.037426,-52.67862,Brazil,Amazona vinacea
"200",-24.586163,-52.93567,Brazil,Amazona vinacea
"201",-22.868647,-46.022224,Brazil,Amazona vinacea
"202",-20.688868,-43.307953,Brazil,Amazona vinacea
"203",-26.462187,-52.568893,Brazil,Amazona vinacea
"204",-26.462187,-52.568893,Brazil,Amazona vinacea
"205",-27.739838,-51.173393,Brazil,Amazona vinacea
"206",-27.395897,-50.746914,Brazil,Amazona vinacea
"207",-29.313206,-50.85219,Brazil,Amazona vinacea
"208",-28.987675,-50.06528,Brazil,Amazona vinacea
"209",-25.339458,-49.208725,Brazil,Amazona vinacea
"210",-26.14149,-51.75382,Brazil,Amazona vinacea
"211",-27.978527,-49.486237,Brazil,Amazona vinacea
"212",-22.876017,-46.029797,Brazil,Amazona vinacea
"213",-19.41854,-42.639507,Brazil,Amazona vinacea
"214",-27.395897,-50.746914,Brazil,Amazona vinacea
"215",-22.73724,-45.58983,Brazil,Amazona vinacea
"216",-27.023197,-51.090958,Brazil,Amazona vinacea
"217",-26.037426,-52.67862,Brazil,Amazona vinacea
"218",-29.159657,-50.078945,Brazil,Amazona vinacea
"219",-29.480993,-50.17481,Brazil,Amazona vinacea
"220",-20.685087,-43.30088,Brazil,Amazona vinacea
"221",-29.458334,-50.581112,Brazil,Amazona vinacea
"222",-29.425262,-50.392895,Brazil,Amazona vinacea
"223",-26.324463,-53.29992,Brazil,Amazona vinacea
"224",-24.956982,-48.42139,Brazil,Amazona vinacea
"225",-20.685087,-43.30088,Brazil,Amazona vinacea
"226",-27.56632,-51.17782,Brazil,Amazona vinacea
"227",-29.458334,-50.581112,Brazil,Amazona vinacea
"228",-27.502172,-50.860516,Brazil,Amazona vinacea
"229",-25.084343,-48.80382,Brazil,Amazona vinacea
"230",-29.458334,-50.581112,Brazil,Amazona vinacea
"231",-29.159657,-50.078945,Brazil,Amazona vinacea
"232",-24.956982,-48.42139,Brazil,Amazona vinacea
"233",-19.412596,-42.60874,Brazil,Amazona vinacea
"234",-27.951292,-49.93415,Brazil,Amazona vinacea
"235",-27.951292,-49.93415,Brazil,Amazona vinacea
"236",-27.951292,-49.93415,Brazil,Amazona vinacea
"237",-27.9545,-49.8767,Brazil,Amazona vinacea
"238",-22.716423,-45.59234,Brazil,Amazona vinacea
"239",-22.705013,-45.461582,Brazil,Amazona vinacea
"240",-27.978527,-49.486237,Brazil,Amazona vinacea
"241",-26.462187,-52.568893,Brazil,Amazona vinacea
"242",-29.355167,-50.83108,Brazil,Amazona vinacea
"243",-22.691177,-45.497208,Brazil,Amazona vinacea
"244",-25.339458,-49.208725,Brazil,Amazona vinacea
"245",-23.162851,-44.958588,Brazil,Amazona vinacea
"246",-20.685087,-43.30088,Brazil,Amazona vinacea
"247",-27.148058,-51.536243,Brazil,Amazona vinacea
"248",-22.689444,-45.481945,Brazil,Amazona vinacea
"249",-25.22102,-48.046986,Brazil,Amazona vinacea
"250",-27.540754,-50.856575,Brazil,Amazona vinacea
"251",-27.490208,-50.980618,Brazil,Amazona vinacea
"252",-29.158892,-50.08184,Brazil,Amazona vinacea
"253",-19.412596,-42.60874,Brazil,Amazona vinacea
"254",-27.116165,-52.768436,Brazil,Amazona vinacea
"255",-29.159657,-50.078945,Brazil,Amazona vinacea
"256",-22.261608,-44.507496,Brazil,Amazona vinacea
"257",-29.458334,-50.581112,Brazil,Amazona vinacea
"258",-27.978527,-49.486237,Brazil,Amazona vinacea
"259",-26.037426,-52.67862,Brazil,Amazona vinacea
"260",-25.339489,-49.208748,Brazil,Amazona vinacea
"261",-22.698654,-45.480602,Brazil,Amazona vinacea
"262",-26.487871,-51.990635,Brazil,Amazona vinacea
"263",-22.689444,-45.481945,Brazil,Amazona vinacea
"264",-16.854315,-41.755135,Brazil,Amazona vinacea
"265",-22.709316,-45.548607,Brazil,Amazona vinacea
"266",-29.15847,-50.079353,Brazil,Amazona vinacea
"267",-27.967873,-49.895054,Brazil,Amazona vinacea
"268",-26.462187,-52.568893,Brazil,Amazona vinacea
"269",-29.158892,-50.08184,Brazil,Amazona vinacea
"270",-27.424295,-50.77813,Brazil,Amazona vinacea
"271",-26.037426,-52.67862,Brazil,Amazona vinacea
"272",-27.951292,-49.93415,Brazil,Amazona vinacea
"273",-22.689444,-45.481945,Brazil,Amazona vinacea
"274",-22.689444,-45.481945,Brazil,Amazona vinacea
"275",-22.720968,-45.57992,Brazil,Amazona vinacea
"276",-22.727917,-45.59086,Brazil,Amazona vinacea
"277",-27.565079,-53.513126,Brazil,Amazona vinacea
"278",-22.689444,-45.481945,Brazil,Amazona vinacea
"279",-27.669218,-49.056145,Brazil,Amazona vinacea
"280",-27.952574,-49.93541,Brazil,Amazona vinacea
"281",-29.450869,-50.520447,Brazil,Amazona vinacea
"282",-21.600992,-44.570778,Brazil,Amazona vinacea
"283",-27.669218,-49.056145,Brazil,Amazona vinacea
"284",-26.462187,-52.568893,Brazil,Amazona vinacea
"285",-16.463182,-41.718716,Brazil,Amazona vinacea
"286",-29.427607,-50.39236,Brazil,Amazona vinacea
"287",-27.9545,-49.8767,Brazil,Amazona vinacea
"288",-22.691557,-45.50286,Brazil,Amazona vinacea
"289",-29.450869,-50.520447,Brazil,Amazona vinacea
"290",-29.458334,-50.581112,Brazil,Amazona vinacea
"291",-28.039925,-49.45227,Brazil,Amazona vinacea
"292",-27.951292,-49.93415,Brazil,Amazona vinacea
"293",-22.73724,-45.58983,Brazil,Amazona vinacea
"294",-22.876017,-46.029797,Brazil,Amazona vinacea
"295",-29.158892,-50.08184,Brazil,Amazona vinacea
"296",-27.951292,-49.93415,Brazil,Amazona vinacea
"297",-27.952509,-49.8698,Brazil,Amazona vinacea
"298",-27.739838,-51.173393,Brazil,Amazona vinacea
"299",-22.739326,-45.591537,Brazil,Amazona vinacea
"300",-27.44909,-50.916565,Brazil,Amazona vinacea
"301",-27.978527,-49.486237,Brazil,Amazona vinacea
"302",-27.951292,-49.93415,Brazil,Amazona vinacea
"303",-20.685087,-43.30088,Brazil,Amazona vinacea
"304",-22.807692,-45.99517,Brazil,Amazona vinacea
"305",-29.158892,-50.08184,Brazil,Amazona vinacea
"306",-27.952076,-49.9305,Brazil,Amazona vinacea
"307",-25.016071,-47.9318,Brazil,Amazona vinacea
"308",-26.948582,-49.562954,Brazil,Amazona vinacea
"309",-27.497639,-50.790745,Brazil,Amazona vinacea
"310",-27.978527,-49.486237,Brazil,Amazona vinacea
"311",-29.176653,-49.986996,Brazil,Amazona vinacea
"312",-22.73944,-45.571083,Brazil,Amazona vinacea
"313",-29.289534,-50.487564,Brazil,Amazona vinacea
"314",-29.437624,-50.60847,Brazil,Amazona vinacea
"315",-26.037426,-52.67862,Brazil,Amazona vinacea
"316",-29.458334,-50.581112,Brazil,Amazona vinacea
"317",-22.866201,-46.041775,Brazil,Amazona vinacea
"318",-27.980448,-49.855312,Brazil,Amazona vinacea
"319",-22.73724,-45.58983,Brazil,Amazona vinacea
"320",-26.40133,-52.60221,Brazil,Amazona vinacea
"321",-26.037426,-52.67862,Brazil,Amazona vinacea
"322",-26.462187,-52.568893,Brazil,Amazona vinacea
"323",-29.450869,-50.520447,Brazil,Amazona vinacea
"324",-29.450869,-50.520447,Brazil,Amazona vinacea
"325",-26.037426,-52.67862,Brazil,Amazona vinacea
"326",-19.150488,-40.06817,Brazil,Amazona vinacea
"327",-20.685087,-43.30088,Brazil,Amazona vinacea
"328",-22.690578,-45.47798,Brazil,Amazona vinacea
"329",-29.425262,-50.392895,Brazil,Amazona vinacea
"330",-20.685087,-43.30088,Brazil,Amazona vinacea
"331",-22.88379,-46.024757,Brazil,Amazona vinacea
"332",-27.395897,-50.746914,Brazil,Amazona vinacea
"333",-22.687828,-45.502964,Brazil,Amazona vinacea
"334",-27.110743,-52.767525,Brazil,Amazona vinacea
"335",-20.685087,-43.30088,Brazil,Amazona vinacea
"336",-27.951292,-49.93415,Brazil,Amazona vinacea
"337",-21.450356,-44.671654,Brazil,Amazona vinacea
"338",-26.22401,-52.031147,Brazil,Amazona vinacea
"339",-28.229565,-49.87014,Brazil,Amazona vinacea
"340",-29.458334,-50.581112,Brazil,Amazona vinacea
"341",-22.807692,-45.99517,Brazil,Amazona vinacea
"342",-26.037426,-52.67862,Brazil,Amazona vinacea
"343",-22.731178,-45.595875,Brazil,Amazona vinacea
"344",-16.463182,-41.718716,Brazil,Amazona vinacea
"345",-25.099901,-48.811634,Brazil,Amazona vinacea
"346",-24.856287,-48.717747,Brazil,Amazona vinacea
"347",-22.73724,-45.58983,Brazil,Amazona vinacea
"348",-26.070501,-51.170708,Brazil,Amazona vinacea
"349",-22.727917,-45.59086,Brazil,Amazona vinacea
"350",-20.685087,-43.30088,Brazil,Amazona vinacea
"351",-27.951292,-49.93415,Brazil,Amazona vinacea
"352",-27.951292,-49.93415,Brazil,Amazona vinacea
"353",-27.952574,-49.93541,Brazil,Amazona vinacea
"354",-29.423851,-50.38677,Brazil,Amazona vinacea
"355",-29.158892,-50.08184,Brazil,Amazona vinacea
"356",-29.425262,-50.392895,Brazil,Amazona vinacea
"357",-27.951292,-49.93415,Brazil,Amazona vinacea
"358",-26.487871,-51.990635,Brazil,Amazona vinacea
"359",-27.944067,-49.86991,Brazil,Amazona vinacea
"360",-26.41441,-52.625977,Brazil,Amazona vinacea
"361",-29.458334,-50.581112,Brazil,Amazona vinacea
"362",-27.980448,-49.855312,Brazil,Amazona vinacea
"363",-27.43288,-48.98999,Brazil,Amazona vinacea
"364",-22.691557,-45.50286,Brazil,Amazona vinacea
"365",-22.731236,-45.59698,Brazil,Amazona vinacea
"366",-29.427607,-50.39236,Brazil,Amazona vinacea
"367",-29.458334,-50.581112,Brazil,Amazona vinacea
"368",-27.9545,-49.8767,Brazil,Amazona vinacea
"369",-27.571884,-51.05753,Brazil,Amazona vinacea
"370",-26.037426,-52.67862,Brazil,Amazona vinacea
"371",-21.988024,-43.899624,Brazil,Amazona vinacea
"372",-29.425262,-50.392895,Brazil,Amazona vinacea
"373",-27.395897,-50.746914,Brazil,Amazona vinacea
"374",-26.007145,-50.360023,Brazil,Amazona vinacea
"375",-22.703138,-45.47843,Brazil,Amazona vinacea
"376",-22.693571,-45.490643,Brazil,Amazona vinacea
"377",-27.967873,-49.895054,Brazil,Amazona vinacea
"378",-22.689444,-45.481945,Brazil,Amazona vinacea
"379",-23.33884,-45.14914,Brazil,Amazona vinacea
"380",-27.733105,-50.201664,Brazil,Amazona vinacea
"381",-29.458334,-50.581112,Brazil,Amazona vinacea
"382",-29.352043,-50.840622,Brazil,Amazona vinacea
"383",-22.73724,-45.58983,Brazil,Amazona vinacea
"384",-27.951292,-49.93415,Brazil,Amazona vinacea
"385",-27.978527,-49.486237,Brazil,Amazona vinacea
"386",-22.697767,-45.515057,Brazil,Amazona vinacea
"387",-27.502172,-50.860516,Brazil,Amazona vinacea
"388",-22.689444,-45.481945,Brazil,Amazona vinacea
"389",-26.462187,-52.568893,Brazil,Amazona vinacea
"390",-27.951292,-49.93415,Brazil,Amazona vinacea
"391",-29.427607,-50.39236,Brazil,Amazona vinacea
"392",-29.458334,-50.581112,Brazil,Amazona vinacea
"393",-29.158892,-50.08184,Brazil,Amazona vinacea
"394",-29.442862,-50.611286,Brazil,Amazona vinacea
"395",-27.8999,-49.585606,Brazil,Amazona vinacea
"396",-26.037426,-52.67862,Brazil,Amazona vinacea
"397",-26.144926,-51.066833,Brazil,Amazona vinacea
"398",-22.70913,-45.546707,Brazil,Amazona vinacea
"399",-27.978527,-49.486237,Brazil,Amazona vinacea
"400",-16.463182,-41.718716,Brazil,Amazona vinacea
"401",-22.689444,-45.481945,Brazil,Amazona vinacea
"402",-23.162851,-44.958588,Brazil,Amazona vinacea
"403",-20.685087,-43.30088,Brazil,Amazona vinacea
"404",-28.081356,-49.906242,Brazil,Amazona vinacea
"405",-26.462187,-52.568893,Brazil,Amazona vinacea
"406",-26.180077,-51.073463,Brazil,Amazona vinacea
"407",-26.006586,-51.667793,Brazil,Amazona vinacea
"408",-27.978527,-49.486237,Brazil,Amazona vinacea
"409",-28.081356,-49.906242,Brazil,Amazona vinacea
"410",-26.1085,-51.659454,Brazil,Amazona vinacea
"411",-25.963375,-51.860798,Brazil,Amazona vinacea
"412",-29.353048,-50.840637,Brazil,Amazona vinacea
"413",-25.016071,-47.9318,Brazil,Amazona vinacea
"414",-27.395897,-50.746914,Brazil,Amazona vinacea
"415",-29.458334,-50.581112,Brazil,Amazona vinacea
"416",-22.697767,-45.515057,Brazil,Amazona vinacea
"417",-22.691557,-45.50286,Brazil,Amazona vinacea
"418",-16.463182,-41.718716,Brazil,Amazona vinacea
"419",-26.462187,-52.568893,Brazil,Amazona vinacea
"420",-27.571884,-51.05753,Brazil,Amazona vinacea
"421",-29.425262,-50.392895,Brazil,Amazona vinacea
"422",-27.980448,-49.855312,Brazil,Amazona vinacea
"423",-22.717943,-45.41422,Brazil,Amazona vinacea
"424",-22.691557,-45.50286,Brazil,Amazona vinacea
"425",-29.458334,-50.581112,Brazil,Amazona vinacea
"426",-26.589245,-50.1625,Brazil,Amazona vinacea
"427",-27.978527,-49.486237,Brazil,Amazona vinacea
"428",-27.967873,-49.895054,Brazil,Amazona vinacea
"429",-22.689444,-45.481945,Brazil,Amazona vinacea
"430",-27.967873,-49.895054,Brazil,Amazona vinacea
"431",-26.462187,-52.568893,Brazil,Amazona vinacea
"432",-29.458334,-50.581112,Brazil,Amazona vinacea
"433",-26.037426,-52.67862,Brazil,Amazona vinacea
"434",-27.422289,-50.765488,Brazil,Amazona vinacea
"435",-22.703138,-45.47843,Brazil,Amazona vinacea
"436",-27.502172,-50.860516,Brazil,Amazona vinacea
"437",-29.408493,-50.45473,Brazil,Amazona vinacea
"438",-27.48617,-50.809074,Brazil,Amazona vinacea
"439",-29.442862,-50.611286,Brazil,Amazona vinacea
"440",-22.691557,-45.50286,Brazil,Amazona vinacea
"441",-29.458334,-50.581112,Brazil,Amazona vinacea
"442",-27.023197,-51.090958,Brazil,Amazona vinacea
"443",-22.691557,-45.50286,Brazil,Amazona vinacea
"444",-26.037426,-52.67862,Brazil,Amazona vinacea
"445",-26.069582,-51.17291,Brazil,Amazona vinacea
"446",-22.261608,-44.507496,Brazil,Amazona vinacea
"447",-22.691557,-45.50286,Brazil,Amazona vinacea
"448",-22.693361,-45.500862,Brazil,Amazona vinacea
"449",-20.685087,-43.30088,Brazil,Amazona vinacea
"450",-22.261608,-44.507496,Brazil,Amazona vinacea
"451",-29.425262,-50.392895,Brazil,Amazona vinacea
"452",-29.442417,-50.555885,Brazil,Amazona vinacea
"453",-29.458334,-50.581112,Brazil,Amazona vinacea
"454",-29.458334,-50.581112,Brazil,Amazona vinacea
"455",-27.978527,-49.486237,Brazil,Amazona vinacea
"456",-29.480993,-50.17481,Brazil,Amazona vinacea
"457",-22.691557,-45.50286,Brazil,Amazona vinacea
"458",-26.462187,-52.568893,Brazil,Amazona vinacea
"459",-29.458334,-50.581112,Brazil,Amazona vinacea
"460",-29.423851,-50.38677,Brazil,Amazona vinacea
"461",-27.951292,-49.93415,Brazil,Amazona vinacea
"462",-21.66181,-43.905895,Brazil,Amazona vinacea
"463",-27.490343,-50.980408,Brazil,Amazona vinacea
"464",-27.967873,-49.895054,Brazil,Amazona vinacea
"465",-25.339487,-49.208576,Brazil,Amazona vinacea
"466",-27.013268,-51.094086,Brazil,Amazona vinacea
"467",-22.73724,-45.58983,Brazil,Amazona vinacea
"468",-26.037426,-52.67862,Brazil,Amazona vinacea
"469",-25.782215,-52.2402,Brazil,Amazona vinacea
"470",-21.987888,-43.899635,Brazil,Amazona vinacea
"471",-27.952574,-49.93541,Brazil,Amazona vinacea
"472",-29.423658,-50.57849,Brazil,Amazona vinacea
"473",-29.427607,-50.39236,Brazil,Amazona vinacea
"474",-25.888823,-50.26831,Brazil,Amazona vinacea
"475",-26.037426,-52.67862,Brazil,Amazona vinacea
"476",-26.070435,-51.172077,Brazil,Amazona vinacea
"477",-25.099901,-48.811634,Brazil,Amazona vinacea
"478",-22.689444,-45.481945,Brazil,Amazona vinacea
"479",-22.691557,-45.50286,Brazil,Amazona vinacea
"480",-25.6403,-51.48178,Brazil,Amazona vinacea
"481",-22.7395,-45.558025,Brazil,Amazona vinacea
"482",-22.691557,-45.50286,Brazil,Amazona vinacea
"483",-26.577518,-52.560814,Brazil,Amazona vinacea
"484",-25.016071,-47.9318,Brazil,Amazona vinacea
"485",-22.691557,-45.50286,Brazil,Amazona vinacea
"486",-26.462187,-52.568893,Brazil,Amazona vinacea
"487",-22.693571,-45.490643,Brazil,Amazona vinacea
"488",-25.339487,-49.208576,Brazil,Amazona vinacea
"489",-27.395897,-50.746914,Brazil,Amazona vinacea
"490",-26.324463,-53.29992,Brazil,Amazona vinacea
"491",-22.689444,-45.481945,Brazil,Amazona vinacea
"492",-29.480993,-50.17481,Brazil,Amazona vinacea
"493",-22.689444,-45.481945,Brazil,Amazona vinacea
"494",-27.023197,-51.090958,Brazil,Amazona vinacea
"495",-22.689444,-45.481945,Brazil,Amazona vinacea
"496",-28.057894,-49.36535,Brazil,Amazona vinacea
"497",-29.458334,-50.581112,Brazil,Amazona vinacea
"498",-29.15847,-50.079353,Brazil,Amazona vinacea
"499",-22.691557,-45.50286,Brazil,Amazona vinacea
"500",-22.740936,-45.56233,Brazil,Amazona vinacea
"501",-26.652637,-49.5239,Brazil,Amazona vinacea
"502",-29.451757,-50.595753,Brazil,Amazona vinacea
"503",-26.591022,-49.333687,Brazil,Amazona vinacea
"504",-22.693571,-45.490643,Brazil,Amazona vinacea
"505",-25.099901,-48.811634,Brazil,Amazona vinacea
"506",-22.739326,-45.591537,Brazil,Amazona vinacea
"507",-25.128738,-48.022408,Brazil,Amazona vinacea
"508",-22.710155,-45.552963,Brazil,Amazona vinacea
"509",-26.462187,-52.568893,Brazil,Amazona vinacea
